,ici,,,,,,,
kernel,epsilon-SVR,,,,nu-SVR,,,
,single,,reverse,,single,,reverse,
features,MSR,SCC,MSR,SCC,MSR,SCC,MSR,SCC
DC,0.261313,0.0728683,0.282722,0.000214656,0.274283,0.0742529,0.28594,1.14188e-05
DD,0.284211,7.74867e-17,0.28219,0.000537251,0.304681,0.00109191,0.286396,0.000849354
DE,0.261037,0.0750526,0.282482,0.000166835,0.273644,0.0795767,0.2868,1.13016e-05
DF,0.284211,5.21934e-16,0.28258,4.00023e-05,0.304659,0.0218827,0.286351,3.62932e-05
DG,0.284211,5.21934e-16,0.282185,0.000532148,0.304679,nan,0.28641,0.000845613
DH,0.283521,0.0104563,0.282465,0.000131239,0.301215,0.01071,0.28668,1.89792e-05
DI,0.290794,0.000893861,0.28215,0.000354962,0.306686,0.00107786,0.286593,0.000450264
DJ,0.292704,0.00719435,0.282329,0.000332117,0.309107,0.00643972,0.286516,3.169e-05
DK,0.283248,0.0141901,0.282231,0.000381028,0.300544,0.0127994,0.286254,0.000440996
DL,0.283635,0.00583833,0.2824,0.000108631,0.301253,0.00657677,0.286615,1.34545e-05
DM,0.272293,0.0373239,0.28232,0.000126639,0.288498,0.0368387,0.286808,3.72031e-06
DN,0.292157,0.00468643,0.282592,0.00014061,0.307391,0.00438315,0.285948,0.000157329
DO,0.279288,0.0204962,0.28236,0.000199014,0.295483,0.0216352,0.286466,0.00022321
DP,0.274936,0.0353964,0.282452,0.000255112,0.291861,0.0338983,0.286197,3.9154e-05
DQ,0.235689,0.175031,0.282503,0.000215933,0.251957,0.166534,0.286316,6.19532e-07
DR,0.286413,0.00863141,0.282547,0.000312237,0.301833,0.00923185,0.286098,4.02406e-05
DS,0.284031,0.00104994,0.282416,0.000291193,0.303821,0.000644561,0.28631,3.5917e-05
DT,0.297314,0.000873449,0.282286,0.00043958,0.313807,0.000512514,0.286229,0.000467152
DU,0.275672,0.0336833,0.282538,0.00035164,0.290174,0.0328268,0.285981,0.000279845
DV,0.288242,0.0255946,0.282467,0.000288507,0.299971,0.0253546,0.285799,0.000351183
DW,0.266573,0.061675,0.28244,0.000185309,0.283826,0.0611075,0.28626,4.86469e-05
DX,0.281473,0.0259592,0.282535,0.000191121,0.294249,0.0266527,0.286316,2.53165e-05
DY,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
DZ,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
EA,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
EB,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
EC,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
ED,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
EE,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
EF,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
EG,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
EH,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
EI,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
EJ,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
EK,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
EL,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
EM,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
EN,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
EO,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
EP,283.31,0.259966,0.282382,0.000458568,281.074,0.262086,0.286303,0.000799774
EQ,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
ER,0.284211,5.21934e-16,0.282337,0.000260717,0.304679,nan,0.286865,3.76468e-06
ES,0.284211,5.21934e-16,0.282342,0.000260793,0.304679,nan,0.28685,3.71325e-06
ET,0.284211,2.91669e-16,0.28219,0.000537251,0.304679,4.89716e-16,0.286396,0.000849354
EU,0.229414,0.481249,0.282133,0.000403955,0.243782,0.481253,0.286976,1.19834e-05
EV,0.284211,5.21934e-16,0.282257,0.000709353,0.304679,3.76705e-17,0.286152,0.000927382
EW,0.229363,0.481258,0.282368,0.000219113,0.243767,0.481253,0.286294,0.000304145
EX,0.284211,5.21934e-16,0.28219,0.000537153,0.304679,0,0.286396,0.000849789
EY,0.284211,4.61244e-16,0.28219,0.000537251,0.304679,0,0.286396,0.000849354
EZ,1571.1,0.0190979,0.282313,0.000189961,3706.07,0.00163996,0.286984,1.7396e-06
FA,0.284211,5.21934e-16,0.28219,0.000537251,0.304679,nan,0.286396,0.000849354
FB,0.284211,1.30414e-16,0.28219,0.000537251,0.304679,-4.89716e-16,0.286396,0.000849354
