,factory,,,,,,,,,,,,,,,,,,
kernel,linear,,,,,,rbf,,,,,,kernel,rbf,,,,,
c,c=0.5,,c=1,,c=5,,c=0.5,,c=1,,c=5,,c,c=0.5,,c=1,,c=5,
features,single,reverse,single,reverse,single,reverse,single,reverse,single,reverse,single,reverse,features,single,reverse,single,reverse,single,reverse
BA,93.0359,92.2742,93.0359,92.2742,93.0359,92.2742,93.6888,92.383,93.6888,92.383,93.6888,92.383,BA,93.6888,92.383,93.6888,92.383,93.6888,92.383
BB,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,BB,92.383,92.383,92.383,92.383,92.383,92.383
BC,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,BC,92.383,92.383,92.383,92.383,92.383,92.383
BD,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,BD,92.383,92.383,92.383,92.383,92.383,92.383
BE,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,BE,92.383,92.383,92.383,92.383,92.383,92.383
BF,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,BF,92.383,92.383,92.383,92.383,92.383,92.383
BG,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,BG,92.383,92.383,92.383,92.383,92.383,92.383
BH,92.383,92.2742,92.383,92.2742,92.383,92.2742,93.58,92.383,93.2535,92.383,92.8183,92.383,BH,93.58,92.383,93.2535,92.383,92.8183,92.383
BI,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,BI,92.383,92.383,92.383,92.383,92.383,92.383
BJ,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,BJ,92.383,92.383,92.383,92.383,92.383,92.383
BK,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,BK,92.383,92.383,92.383,92.383,92.383,92.383
BL,92.383,91.0773,92.383,91.0773,92.383,91.0773,93.1447,92.383,93.2535,92.383,93.2535,92.383,BL,93.1447,92.383,93.2535,92.383,93.2535,92.383
BM,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,BM,92.383,92.383,92.383,92.383,92.383,92.383
BN,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,BN,92.383,92.383,92.383,92.383,92.383,92.383
BO,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,BO,92.383,92.383,92.383,92.383,92.383,92.383
BP,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,BP,92.383,92.383,92.383,92.383,92.383,92.383
BQ,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,BQ,92.383,92.383,92.383,92.383,92.383,92.383
BR,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,BR,92.383,92.383,92.383,92.383,92.383,92.383
BS,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,BS,92.383,92.383,92.383,92.383,92.383,92.383
BT,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,BT,92.383,92.383,92.383,92.383,92.383,92.383
BU,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,BU,92.383,92.383,92.383,92.383,92.383,92.383
BV,92.383,92.2742,92.383,92.2742,92.383,92.2742,92.383,92.383,92.383,92.383,92.383,92.383,BV,92.383,92.383,92.383,92.383,92.383,92.383
